,favorite_count,tweet_id,retweet_count,date,weekday
579,0,799308762079035393,6099,2016-11-17 17:50:33,Thu
580,11054,813112105746448384,3027,2016-12-25 20:00:07,Sun
581,30508,800018252395122689,14524,2016-11-19 16:49:49,Sat
582,5198,806576416489959424,2115,2016-12-07 19:09:37,Wed
583,11789,803638050916102144,4556,2016-11-29 16:33:36,Tue
584,12098,808501579447930884,2866,2016-12-13 02:39:32,Tue
585,0,803321560782307329,5864,2016-11-28 19:35:59,Mon
586,8646,799422933579902976,2113,2016-11-18 01:24:14,Fri
587,11751,810657578271330305,2913,2016-12-19 01:26:42,Mon
588,10653,799297110730567681,3060,2016-11-17 17:04:16,Thu
589,11055,794926597468000259,2551,2016-11-05 15:37:24,Sat
590,0,794983741416415232,3715,2016-11-05 19:24:28,Sat
591,0,789280767834746880,5455,2016-10-21 01:42:53,Fri
592,11156,798209839306514432,2829,2016-11-14 17:03:50,Mon
593,12769,796759840936919040,3371,2016-11-10 17:02:03,Thu
594,0,788070120937619456,3769,2016-10-17 17:32:13,Mon
595,15586,797545162159308800,5362,2016-11-12 21:02:38,Sat
596,8366,787322443945877504,1918,2016-10-15 16:01:13,Sat
597,7722,792050063153438720,1982,2016-10-28 17:07:05,Fri
598,29460,788765914992902144,11347,2016-10-19 15:37:03,Wed
599,0,798665375516884993,4288,2016-11-15 23:13:58,Tue
600,10972,787717603741622272,3065,2016-10-16 18:11:26,Sun
601,9444,791312159183634433,2806,2016-10-26 16:14:55,Wed
602,6595,788039637453406209,1456,2016-10-17 15:31:05,Mon
603,0,798585098161549313,6291,2016-11-15 17:54:59,Tue
604,9613,793210959003287553,3107,2016-10-31 22:00:04,Mon
605,0,786729988674449408,2658,2016-10-14 00:47:00,Fri
606,7894,792773781206999040,1855,2016-10-30 17:02:53,Sun
607,0,798340744599797760,3710,2016-11-15 01:44:00,Tue
608,11831,796387464403357696,4595,2016-11-09 16:22:22,Wed
609,0,791784077045166082,10628,2016-10-27 23:30:09,Thu
610,16418,793195938047070209,6200,2016-10-31 21:00:23,Mon
611,8150,796484825502875648,1946,2016-11-09 22:49:15,Wed
612,9772,796116448414461957,2674,2016-11-08 22:25:27,Tue
613,11167,789903600034189313,4545,2016-10-22 18:57:48,Sat
614,0,791821351946420224,23184,2016-10-28 01:58:16,Fri
615,12167,792883833364439040,4714,2016-10-31 00:20:11,Mon
616,7270,789599242079838210,2135,2016-10-21 22:48:24,Fri
617,9888,793845145112371200,2067,2016-11-02 16:00:06,Wed
618,0,796904159865868288,9801,2016-11-11 02:35:32,Fri
619,11610,796031486298386433,4065,2016-11-08 16:47:50,Tue
620,17446,795076730285391872,5990,2016-11-06 01:33:58,Sun
621,0,798673117451325440,6115,2016-11-15 23:44:44,Tue
622,0,790723298204217344,2555,2016-10-25 01:14:59,Tue
623,11700,786363235746385920,3859,2016-10-13 00:29:39,Thu
624,0,791780927877898241,4195,2016-10-27 23:17:38,Thu
625,0,787111942498508800,7387,2016-10-15 02:04:45,Sat
626,13649,793120401413079041,4315,2016-10-31 16:00:13,Mon
627,11645,787397959788929025,3120,2016-10-15 21:01:17,Sat
628,0,794355576146903043,11347,2016-11-04 01:48:22,Fri
629,0,798644042770751489,2038,2016-11-15 21:49:12,Tue
630,14103,791406955684368384,4546,2016-10-26 22:31:36,Wed
631,9941,789986466051088384,2555,2016-10-23 00:27:05,Sun
632,9880,794205286408003585,3650,2016-11-03 15:51:10,Thu
633,9316,787810552592695296,3359,2016-10-17 00:20:47,Mon
634,0,793614319594401792,3439,2016-11-02 00:42:53,Wed
635,48529,791774931465953280,24482,2016-10-27 22:53:48,Thu
636,17853,790946055508652032,5179,2016-10-25 16:00:09,Tue
637,9251,789314372632018944,2537,2016-10-21 03:56:25,Fri
638,0,789960241177853952,4568,2016-10-22 22:42:52,Sat
639,6611,788150585577050112,1434,2016-10-17 22:51:57,Mon
640,0,791026214425268224,4539,2016-10-25 21:18:40,Tue
641,10098,786595970293370880,3404,2016-10-13 15:54:28,Thu
642,8079,789628658055020548,1966,2016-10-22 00:45:17,Sat
643,14468,792394556390137856,4728,2016-10-29 15:55:58,Sat
644,9786,789268448748703744,2837,2016-10-21 00:53:56,Fri
645,0,796177847564038144,15798,2016-11-09 02:29:25,Wed
646,8799,790698755171364864,2102,2016-10-24 23:37:28,Mon
647,10292,794332329137291264,2921,2016-11-04 00:15:59,Fri
648,28545,786963064373534720,8793,2016-10-14 16:13:10,Fri
649,12637,791672322847637504,3439,2016-10-27 16:06:04,Thu
650,7440,793180763617361921,2193,2016-10-31 20:00:05,Mon
651,12648,789530877013393408,3715,2016-10-21 18:16:44,Fri
652,10865,795400264262053889,3165,2016-11-06 22:59:35,Sun
653,29436,788908386943430656,13640,2016-10-20 01:03:11,Thu
654,10590,793226087023144960,3155,2016-10-31 23:00:11,Mon
655,16751,788412144018661376,5845,2016-10-18 16:11:17,Tue
656,8403,790337589677002753,2059,2016-10-23 23:42:19,Sun
657,248,797165961484890113,29,2016-11-11 19:55:50,Fri
658,21494,793256262322548741,9194,2016-11-01 01:00:05,Tue
659,15415,792913359805018113,4432,2016-10-31 02:17:31,Mon
660,22211,790581949425475584,7917,2016-10-24 15:53:19,Mon
661,6956,793135492858580992,2757,2016-10-31 17:00:11,Mon
662,10635,790987426131050500,2359,2016-10-25 18:44:32,Tue
663,11304,793241302385262592,3613,2016-11-01 00:00:38,Tue
664,7771,788178268662984705,2334,2016-10-18 00:41:57,Tue
665,8251,796865951799083009,2100,2016-11-11 00:03:42,Fri
666,34794,796149749086875649,15798,2016-11-09 00:37:46,Wed
667,11444,786664955043049472,2822,2016-10-13 20:28:35,Thu
668,10119,793165685325201412,3070,2016-10-31 19:00:10,Mon
669,21481,797236660651966464,7317,2016-11-12 00:36:46,Sat
670,0,790227638568808452,3935,2016-10-23 16:25:25,Sun
671,12520,797971864723324932,3462,2016-11-14 01:18:12,Mon
672,9091,796080075804475393,2565,2016-11-08 20:00:55,Tue
673,53550,795464331001561088,26289,2016-11-07 03:14:10,Mon
674,26467,793286476301799424,10161,2016-11-01 03:00:09,Tue
675,0,798628517273620480,2166,2016-11-15 20:47:30,Tue
676,10428,789137962068021249,3078,2016-10-20 16:15:26,Thu
677,13470,790277117346975746,3513,2016-10-23 19:42:02,Sun
678,18094,793962221541933056,5399,2016-11-02 23:45:19,Wed
679,5309,796125600683540480,1968,2016-11-08 23:01:49,Tue
680,9297,793271401113350145,2612,2016-11-01 02:00:14,Tue
681,19508,786709082849828864,6699,2016-10-13 23:23:56,Thu
682,8568,793601777308463104,1806,2016-11-01 23:53:02,Tue
